	we.ep	we.eBH	wi.ep	wi.eBH	rab.all	rab.win.Desert	rab.win.Grassland	diff.btw	diff.win	effect	overlap
SV2	0.000208097117647304	0.0019180159642433	0.000912291314953063	0.00625495737742579	10.9023666763684	12.7483296170748	8.09118349614712	-4.08507286195445	5.38201108138458	-0.67750580171808	0.242015628668537
SV26	0.000759420202610097	0.0087140289152365	0.00376255993876524	0.0308604231026739	0.540877198228532	-1.75722591695921	8.91791184741992	8.55429935084479	11.6767615955785	0.699444289007068	0.248403136923757
SV41	0.0115143875204599	0.0473673718136971	0.00686306056061337	0.030685720568892	-1.15547117453929	1.68558708331844	-2.17407126769723	-3.78215582154658	6.05723699373187	-0.605966798717961	0.256210091494293
SV59	9.21637543139773e-07	2.98268720433004e-05	4.71506872685596e-06	0.000128811989290378	0.46611398218201	-2.57669753299434	5.93361671327969	8.03737217788072	6.21800987755251	1.20565295772736	0.113555753558603
SV68	3.17983953895783e-05	0.000292141057365246	3.39390940173531e-06	5.81237998023223e-05	3.30243703976963	6.20185568012975	0.385850581636852	-5.3990450412165	4.79643449349969	-0.966657748885356	0.145493287552342
SV146	0.00839551551901388	0.0386715482023105	0.0215347409983754	0.0930414322087795	3.63536261940009	4.34594566079143	0.61917987305562	-2.98102349695822	5.79953079698062	-0.453513389343124	0.310149051185257
SV210	1.58546432991839e-06	2.50539304652936e-05	9.40853725813623e-08	2.66909237060988e-06	-0.227450373705676	4.23291694142624	-2.27656745354101	-6.8797441311376	5.12609351950922	-1.26810647048634	0.0745739284173646
SV221	0.0102518381910082	0.0411397178511516	0.00401494590756244	0.0182313418495794	-1.00598796224407	2.18783556727066	-2.26959993338293	-4.36212583966498	6.22476399660946	-0.638121213796591	0.23066005851086
SV273	0.000185984043827379	0.00130370487691311	2.80121176133227e-05	0.000287149890218673	-0.78214126626913	3.18682615735767	-2.37418846724176	-5.25232860101626	4.87607051281518	-0.968427946283241	0.139204577096308
SV274	0.00758723332388964	0.0319908742907092	0.00636394699845109	0.0320355538991233	1.74965694972079	3.36686727292922	-0.836246587886339	-3.84072917519227	5.74970982494233	-0.580649812590778	0.277698875283056
SV327	0.000312908592962471	0.00165746915460539	1.90294539859776e-05	0.000196212610106388	-0.147013675765843	4.68580153961009	-2.02822733485819	-5.71738284921586	5.24213957493035	-0.983315544857186	0.134943214681987
SV390	0.000970305293668174	0.00906096020195924	0.00196374189251901	0.0177475515012434	-0.00328616494353895	-2.00836195267008	4.91634482148705	6.09881657471584	7.18698489398584	0.749473947682378	0.231534106765428
SV414	0.00425668549847927	0.0206389713829854	0.00176277249473851	0.00989554030888967	-1.09128411725332	1.35877367968225	-2.26155986601211	-3.7002775119637	5.65935322467419	-0.623216449013144	0.226401719728561
SV435	0.000446680171170413	0.00239473815750531	1.6151902652934e-05	0.000179688723913017	-0.902377456310168	2.6301684149163	-2.44992246620687	-5.06327088070341	4.66478587060918	-1.00903496826312	0.125710263060514
SV458	2.69689700170878e-06	7.18467319125122e-05	1.34593184436227e-05	0.000406361822630224	0.452759786902481	-2.51080317260395	5.68388594509996	7.25378260761421	5.97659483984496	1.10300603575836	0.14052522640715
SV471	0.00557180258083237	0.0314072853481517	0.00664614100749678	0.0418712133608122	-0.679958505280331	-2.20024133651079	2.48419216636144	4.56039758765039	6.46825364009322	0.612996516206031	0.255500368349955
SV638	0.0014709674987231	0.00722059174308083	0.000266345402783127	0.00193086251407022	-0.637352390601215	2.6063470128173	-2.12918284309659	-4.50630965815004	4.79057140986614	-0.823518920267751	0.185947502254498
SV645	0.00383193720209405	0.0169387583044949	0.000851466011565641	0.00511102925878896	-0.917240093326608	1.99909792947937	-2.17783079209368	-4.2195056797594	5.50550342856336	-0.714456074247977	0.204545473628105
SV915	0.000584507507739678	0.00327180792288724	0.000746978875105187	0.00511993255039047	2.33977594768155	3.92390961316872	-0.740826905932443	-4.19004713506442	4.86232507770449	-0.719994690060593	0.23066005851086
SV919	0.00117869118618811	0.00973725566136555	0.0013791155399152	0.0130100635286119	-0.191284016262918	-2.04892611304273	3.42666062541561	5.28018773053132	6.16771450763094	0.75726694674165	0.210227291068127
SV969	0.00826964954512595	0.0405300905883477	0.00756577306311746	0.044586386023965	-1.14210142791671	-2.5874198070243	0.760998499616047	3.91419497485157	6.01026372897395	0.596270381997309	0.253371198918777
SV1238	0.0102140172165315	0.0415636558004085	0.00565948514090431	0.0262870223361391	-1.09051285325437	1.39982083897686	-2.26013025747135	-3.66695949867441	6.09779046840792	-0.581421445474201	0.242725351806606
